artifact_id,category,name,phi_coherence,utility_score,novelty_score,provenance_depth,provenance_normalized,composite_resonance,passed_gate,token_supply,fibonacci_index,weight_phi_inv,weight_phi_inv_2,weight_phi_inv_3
c7a9e1bc37d1ee41,proof,Proof Artifact #1,0.383562,0.732268,0.675977,51,0.354167,0.516216,False,0,7,0.618034,0.381966,0.236068
21c1c9785f785d1d,embedding,Embedding Artifact #2,0.300098,0.470516,0.255037,16,0.111111,0.306784,False,0,4,0.618034,0.381966,0.236068
01acc4122f3becc9,proof,Proof Artifact #3,0.539355,0.253625,0.701036,93,0.645833,0.50822,False,0,7,0.618034,0.381966,0.236068
602e7082e38f878a,computation,Computation Artifact #4,0.4681,0.25708,0.389925,126,0.875,0.466061,False,0,6,0.618034,0.381966,0.236068
e6e186174237f15f,model,Model Artifact #5,0.378595,0.434719,0.221118,52,0.361111,0.365101,False,0,5,0.618034,0.381966,0.236068
0b284770e92dd067,model,Model Artifact #6,0.538639,0.795815,0.728635,68,0.472222,0.625184,True,55,9,0.618034,0.381966,0.236068
b1c41cb5984839dc,proof,Proof Artifact #7,0.467532,0.558252,0.496426,142,0.986111,0.578862,False,0,8,0.618034,0.381966,0.236068
7f7fadcd26c50150,model,Model Artifact #8,0.839544,0.7689,0.893405,40,0.277778,0.739768,True,144,11,0.618034,0.381966,0.236068
6eb516fea906ea15,dataset,Dataset Artifact #9,0.687421,0.521292,0.67373,122,0.847222,0.667746,True,89,10,0.618034,0.381966,0.236068
2825d0a17fae49d5,computation,Computation Artifact #10,0.84797,0.313615,0.718766,32,0.222222,0.588262,False,0,8,0.618034,0.381966,0.236068
bc34036c3a1f849f,agent_output,Agent Output Artifact #11,0.565552,0.867866,0.599066,51,0.354167,0.615469,False,0,9,0.618034,0.381966,0.236068
2ff6694343899ca1,proof,Proof Artifact #12,0.302217,0.34902,0.828774,58,0.402778,0.414924,False,0,6,0.618034,0.381966,0.236068
bd176277d37c19cd,research,Research Artifact #13,0.749043,0.206069,0.536697,49,0.340278,0.508561,False,0,7,0.618034,0.381966,0.236068
